problem;method;rate;seed;is_train_solved;is_test_solved;train_error;test_error;generation
SL;Rand;k5;1001;False;False;44.0;301.0;300
SL;Rand;k5;1002;False;False;70.0;300.0;300
SL;Rand;k5;1003;False;False;40.0;290.0;300
SL;Rand;k5;1004;False;False;65.0;285.0;300
SL;Rand;k5;1005;True;True;0.0;0.0;103
SL;Rand;k5;1006;True;True;0.0;0.0;14
SL;Rand;k5;1007;True;True;0.0;0.0;102
SL;Rand;k5;1008;True;True;0.0;0.0;190
SL;Rand;k5;1009;True;True;0.0;0.0;35
SL;Rand;k5;1010;True;True;0.0;0.0;277
SL;Rand;k5;1011;True;True;0.0;0.0;29
SL;Rand;k5;1012;False;False;70.0;320.0;300
SL;Rand;k5;1013;True;True;0.0;0.0;84
SL;Rand;k5;1014;True;True;0.0;0.0;83
SL;Rand;k5;1015;True;True;0.0;0.0;64
SL;Rand;k5;1016;True;True;0.0;0.0;113
SL;Rand;k5;1017;True;True;0.0;0.0;147
SL;Rand;k5;1018;False;False;95.0;335.0;300
SL;Rand;k5;1019;True;True;0.0;0.0;27
SL;Rand;k5;1020;True;True;0.0;0.0;25
SL;Rand;k5;1021;True;True;0.0;0.0;177
SL;Rand;k10;1001;True;True;0.0;0.0;25
SL;Rand;k10;1002;True;True;0.0;0.0;164
SL;Rand;k10;1003;False;False;80.0;370.0;300
SL;Rand;k10;1004;True;True;0.0;0.0;110
SL;Rand;k10;1005;False;False;80.0;275.0;300
SL;Rand;k10;1006;True;True;0.0;0.0;71
SL;Rand;k10;1007;True;True;0.0;0.0;95
SL;Rand;k10;1008;False;False;50.0;355.0;300
SL;Rand;k10;1009;True;True;0.0;0.0;36
SL;Rand;k10;1010;False;False;35.0;295.0;300
SL;Rand;k10;1011;True;True;0.0;0.0;99
SL;Rand;k10;1012;True;True;0.0;0.0;110
SL;Rand;k10;1013;False;False;65.0;280.0;300
SL;Rand;k10;1014;False;False;95.0;330.0;300
SL;Rand;k10;1015;False;False;35.0;230.0;300
SL;Rand;k10;1016;False;False;90.0;345.0;300
SL;Rand;k10;1017;False;False;65.0;310.0;300
SL;Rand;k10;1018;True;True;0.0;0.0;143
SL;Rand;k10;1019;False;False;75.0;305.0;300
SL;Rand;k10;1020;True;True;0.0;0.0;115
SL;Rand;k10;1021;False;False;70.0;305.0;300
SL;Rand;k15;1001;False;False;80.0;345.0;300
SL;Rand;k15;1002;False;False;40.0;265.0;300
SL;Rand;k15;1003;False;False;80.0;370.0;300
SL;Rand;k15;1004;True;True;0.0;0.0;96
SL;Rand;k15;1005;False;False;80.0;275.0;300
SL;Rand;k15;1006;True;True;0.0;0.0;228
SL;Rand;k15;1007;True;True;0.0;0.0;60
SL;Rand;k15;1008;True;True;0.0;0.0;27
SL;Rand;k15;1009;False;False;80.0;350.0;300
SL;Rand;k15;1010;False;False;80.0;360.0;300
SL;Rand;k15;1011;False;False;85.0;365.0;300
SL;Rand;k15;1012;False;False;70.0;320.0;300
SL;Rand;k15;1013;True;True;0.0;0.0;242
SL;Rand;k15;1014;False;False;95.0;330.0;300
SL;Rand;k15;1015;False;False;105.0;345.0;300
SL;Rand;k15;1016;False;False;90.0;345.0;300
SL;Rand;k15;1017;False;False;60.0;370.0;300
SL;Rand;k15;1018;False;False;95.0;335.0;300
SL;Rand;k15;1019;False;False;120.0;580.0;300
SL;Rand;k15;1020;False;False;80.0;310.0;300
SL;Rand;k15;1021;True;True;0.0;0.0;64
SL;Rand;k20;1001;False;False;80.0;345.0;300
SL;Rand;k20;1002;False;False;110.0;565.0;300
SL;Rand;k20;1003;True;True;0.0;0.0;233
SL;Rand;k20;1004;True;True;0.0;0.0;150
SL;Rand;k20;1005;False;False;80.0;275.0;300
SL;Rand;k20;1006;True;True;0.0;0.0;22
SL;Rand;k20;1007;False;False;75.0;310.0;300
SL;Rand;k20;1008;False;False;75.0;315.0;300
SL;Rand;k20;1009;False;False;80.0;350.0;300
SL;Rand;k20;1010;False;False;80.0;360.0;300
SL;Rand;k20;1011;False;False;50.0;350.0;300
SL;Rand;k20;1012;False;False;50.0;305.0;300
SL;Rand;k20;1013;False;False;65.0;280.0;300
SL;Rand;k20;1014;False;False;95.0;330.0;300
SL;Rand;k20;1015;True;True;0.0;0.0;143
SL;Rand;k20;1016;False;False;90.0;345.0;300
SL;Rand;k20;1017;True;True;0.0;0.0;48
SL;Rand;k20;1018;False;False;180.0;2205.0;300
SL;Rand;k20;1019;True;True;0.0;0.0;120
SL;Rand;k20;1020;True;True;0.0;0.0;47
SL;Rand;k20;1021;False;False;70.0;305.0;300
SL;Adapt;k5;1001;False;False;165.0;2250.0;300
SL;Adapt;k5;1002;True;True;0.0;0.0;12
SL;Adapt;k5;1003;True;True;0.0;0.0;26
SL;Adapt;k5;1004;True;True;0.0;0.0;47
SL;Adapt;k5;1005;True;True;0.0;0.0;58
SL;Adapt;k5;1006;True;True;0.0;0.0;249
SL;Adapt;k5;1007;True;True;0.0;0.0;84
SL;Adapt;k5;1008;True;True;0.0;0.0;22
SL;Adapt;k5;1009;True;True;0.0;0.0;41
SL;Adapt;k5;1010;True;True;0.0;0.0;28
SL;Adapt;k5;1011;True;True;0.0;0.0;22
SL;Adapt;k5;1012;False;False;70.0;320.0;300
SL;Adapt;k5;1013;True;True;0.0;0.0;36
SL;Adapt;k5;1014;True;True;0.0;0.0;31
SL;Adapt;k5;1015;True;True;0.0;0.0;14
SL;Adapt;k5;1016;True;True;0.0;0.0;27
SL;Adapt;k5;1017;True;True;0.0;0.0;105
SL;Adapt;k5;1018;False;False;95.0;335.0;300
SL;Adapt;k5;1019;True;True;0.0;0.0;55
SL;Adapt;k5;1020;True;True;0.0;0.0;19
SL;Adapt;k5;1021;False;False;259.0;3086.0;300
SL;Adapt;k10;1001;True;True;0.0;0.0;48
SL;Adapt;k10;1002;True;True;0.0;0.0;19
SL;Adapt;k10;1003;False;False;80.0;370.0;300
SL;Adapt;k10;1004;True;True;0.0;0.0;22
SL;Adapt;k10;1005;True;True;0.0;0.0;14
SL;Adapt;k10;1006;True;True;0.0;0.0;77
SL;Adapt;k10;1007;False;False;75.0;310.0;300
SL;Adapt;k10;1008;True;True;0.0;0.0;113
SL;Adapt;k10;1009;True;True;0.0;0.0;29
SL;Adapt;k10;1010;True;True;0.0;0.0;16
SL;Adapt;k10;1011;True;True;0.0;0.0;24
SL;Adapt;k10;1012;False;False;200.0;2155.0;300
SL;Adapt;k10;1013;False;False;65.0;280.0;300
SL;Adapt;k10;1014;True;True;0.0;0.0;36
SL;Adapt;k10;1015;True;True;0.0;0.0;26
SL;Adapt;k10;1016;False;False;90.0;345.0;300
SL;Adapt;k10;1017;True;True;0.0;0.0;55
SL;Adapt;k10;1018;False;False;95.0;335.0;300
SL;Adapt;k10;1019;True;True;0.0;0.0;28
SL;Adapt;k10;1020;True;True;0.0;0.0;49
SL;Adapt;k10;1021;False;False;70.0;305.0;300
SL;Adapt;k15;1001;False;False;115.0;635.0;300
SL;Adapt;k15;1002;False;False;70.0;300.0;300
SL;Adapt;k15;1003;True;True;0.0;0.0;68
SL;Adapt;k15;1004;True;True;0.0;0.0;134
SL;Adapt;k15;1005;False;False;80.0;275.0;300
SL;Adapt;k15;1006;False;False;70.0;270.0;300
SL;Adapt;k15;1007;False;False;130.0;660.0;300
SL;Adapt;k15;1008;True;True;0.0;0.0;126
SL;Adapt;k15;1009;False;False;155.0;2080.0;300
SL;Adapt;k15;1010;True;True;0.0;0.0;31
SL;Adapt;k15;1011;False;False;240.0;2945.0;300
SL;Adapt;k15;1012;False;False;200.0;2155.0;300
SL;Adapt;k15;1013;False;False;65.0;280.0;300
SL;Adapt;k15;1014;False;False;95.0;330.0;300
SL;Adapt;k15;1015;True;True;0.0;0.0;143
SL;Adapt;k15;1016;False;False;65.0;385.0;300
SL;Adapt;k15;1017;True;True;0.0;0.0;63
SL;Adapt;k15;1018;False;False;180.0;2205.0;300
SL;Adapt;k15;1019;False;False;75.0;305.0;300
SL;Adapt;k15;1020;False;False;185.0;2265.0;300
SL;Adapt;k15;1021;True;True;0.0;0.0;191
SL;Adapt;k20;1001;False;False;80.0;345.0;300
SL;Adapt;k20;1002;True;True;0.0;0.0;191
SL;Adapt;k20;1003;False;False;165.0;2325.0;300
SL;Adapt;k20;1004;True;True;0.0;0.0;204
SL;Adapt;k20;1005;False;False;80.0;275.0;300
SL;Adapt;k20;1006;True;True;0.0;0.0;123
SL;Adapt;k20;1007;True;True;0.0;0.0;34
SL;Adapt;k20;1008;True;True;0.0;0.0;22
SL;Adapt;k20;1009;False;False;155.0;2080.0;300
SL;Adapt;k20;1010;False;False;180.0;2205.0;300
SL;Adapt;k20;1011;False;False;85.0;365.0;300
SL;Adapt;k20;1012;False;False;200.0;2155.0;300
SL;Adapt;k20;1013;False;False;65.0;280.0;300
SL;Adapt;k20;1014;False;False;135.0;2225.0;300
SL;Adapt;k20;1015;False;False;105.0;345.0;300
SL;Adapt;k20;1016;False;False;150.0;2090.0;300
SL;Adapt;k20;1017;False;False;65.0;310.0;300
SL;Adapt;k20;1018;True;True;0.0;0.0;96
SL;Adapt;k20;1019;False;False;75.0;305.0;300
SL;Adapt;k20;1020;False;False;80.0;310.0;300
SL;Adapt;k20;1021;False;False;259.0;3086.0;300
CO;Rand;k5;1001;True;True;0.0;0.0;268
CO;Rand;k5;1002;False;False;641.0;8625.0;300
CO;Rand;k5;1003;True;True;0.0;0.0;57
CO;Rand;k5;1004;False;False;1407.0;17600.0;300
CO;Rand;k5;1005;False;False;1224.0;16932.0;300
CO;Rand;k5;1006;True;True;0.0;0.0;30
CO;Rand;k5;1007;True;True;0.0;0.0;91
CO;Rand;k5;1008;False;False;1278.0;17139.0;300
CO;Rand;k5;1009;True;True;0.0;0.0;213
CO;Rand;k5;1010;True;True;0.0;0.0;152
CO;Rand;k5;1011;True;True;0.0;0.0;63
CO;Rand;k5;1012;True;True;0.0;0.0;126
CO;Rand;k5;1013;False;False;591.0;8065.0;300
CO;Rand;k5;1014;True;True;0.0;0.0;266
CO;Rand;k5;1015;False;False;1253.0;19562.0;300
CO;Rand;k5;1016;False;False;1344.0;17015.0;300
CO;Rand;k5;1017;False;False;99.0;1104.0;300
CO;Rand;k5;1018;True;True;0.0;0.0;280
CO;Rand;k5;1019;True;True;0.0;0.0;199
CO;Rand;k5;1020;True;True;0.0;0.0;275
CO;Rand;k5;1021;False;False;1207.0;24133.0;300
CO;Rand;k10;1001;False;False;1031.0;11976.0;300
CO;Rand;k10;1002;False;False;1022.0;12769.0;300
CO;Rand;k10;1003;False;False;1203.0;17177.0;300
CO;Rand;k10;1004;False;False;1409.0;16870.0;300
CO;Rand;k10;1005;False;False;1231.0;16805.0;300
CO;Rand;k10;1006;True;True;0.0;0.0;93
CO;Rand;k10;1007;True;True;0.0;0.0;239
CO;Rand;k10;1008;True;True;0.0;0.0;96
CO;Rand;k10;1009;True;True;0.0;0.0;32
CO;Rand;k10;1010;True;True;0.0;0.0;233
CO;Rand;k10;1011;True;True;0.0;0.0;71
CO;Rand;k10;1012;False;False;1014.0;14209.0;300
CO;Rand;k10;1013;True;True;0.0;0.0;122
CO;Rand;k10;1014;False;False;1113.0;16993.0;300
CO;Rand;k10;1015;False;False;972.0;11838.0;300
CO;Rand;k10;1016;True;True;0.0;0.0;45
CO;Rand;k10;1017;False;False;1061.0;13997.0;300
CO;Rand;k10;1018;True;True;0.0;0.0;227
CO;Rand;k10;1019;True;True;0.0;0.0;160
CO;Rand;k10;1020;True;True;0.0;0.0;23
CO;Rand;k10;1021;False;False;1237.0;17044.0;300
CO;Rand;k15;1001;True;True;0.0;0.0;143
CO;Rand;k15;1002;True;True;0.0;0.0;37
CO;Rand;k15;1003;False;False;1165.0;17001.0;300
CO;Rand;k15;1004;True;True;0.0;0.0;43
CO;Rand;k15;1005;False;False;1108.0;14599.0;300
CO;Rand;k15;1006;True;True;0.0;0.0;184
CO;Rand;k15;1007;False;False;1313.0;19641.0;300
CO;Rand;k15;1008;False;False;995.0;13150.0;300
CO;Rand;k15;1009;True;True;0.0;0.0;83
CO;Rand;k15;1010;False;False;92.0;1093.0;300
CO;Rand;k15;1011;True;True;0.0;0.0;285
CO;Rand;k15;1012;True;True;0.0;0.0;170
CO;Rand;k15;1013;True;True;0.0;0.0;240
CO;Rand;k15;1014;True;True;0.0;0.0;166
CO;Rand;k15;1015;True;True;0.0;0.0;71
CO;Rand;k15;1016;True;True;0.0;0.0;140
CO;Rand;k15;1017;False;False;1067.0;13588.0;300
CO;Rand;k15;1018;True;True;0.0;0.0;254
CO;Rand;k15;1019;False;False;1073.0;13609.0;300
CO;Rand;k15;1020;True;True;0.0;0.0;203
CO;Rand;k15;1021;True;True;0.0;0.0;255
CO;Rand;k20;1001;True;True;0.0;0.0;197
CO;Rand;k20;1002;False;False;1202.0;18545.0;300
CO;Rand;k20;1003;False;False;1171.0;16977.0;300
CO;Rand;k20;1004;False;False;693.0;9029.0;300
CO;Rand;k20;1005;False;False;1231.0;16805.0;300
CO;Rand;k20;1006;False;False;906.0;11983.0;300
CO;Rand;k20;1007;True;True;0.0;0.0;119
CO;Rand;k20;1008;False;False;816.0;10565.0;300
CO;Rand;k20;1009;True;True;0.0;0.0;156
CO;Rand;k20;1010;False;False;1213.0;17248.0;300
CO;Rand;k20;1011;False;False;1301.0;20614.0;300
CO;Rand;k20;1012;False;False;999.0;13286.0;300
CO;Rand;k20;1013;False;False;1282.0;18530.0;300
CO;Rand;k20;1014;True;True;0.0;0.0;135
CO;Rand;k20;1015;True;True;0.0;0.0;238
CO;Rand;k20;1016;False;False;1341.0;17119.0;300
CO;Rand;k20;1017;False;False;1201.0;17933.0;300
CO;Rand;k20;1018;True;True;0.0;0.0;280
CO;Rand;k20;1019;False;False;1049.0;15038.0;300
CO;Rand;k20;1020;True;True;0.0;0.0;145
CO;Rand;k20;1021;True;True;0.0;0.0;104
CO;Adapt;k5;1001;False;False;1055.0;13490.0;300
CO;Adapt;k5;1002;True;True;0.0;0.0;217
CO;Adapt;k5;1003;True;True;0.0;0.0;96
CO;Adapt;k5;1004;True;True;0.0;0.0;62
CO;Adapt;k5;1005;False;False;1180.0;13933.0;300
CO;Adapt;k5;1006;False;False;915.0;12685.0;300
CO;Adapt;k5;1007;True;True;0.0;0.0;92
CO;Adapt;k5;1008;True;True;0.0;0.0;135
CO;Adapt;k5;1009;False;False;1.0;1.0;300
CO;Adapt;k5;1010;True;True;0.0;0.0;33
CO;Adapt;k5;1011;True;True;0.0;0.0;86
CO;Adapt;k5;1012;True;True;0.0;0.0;114
CO;Adapt;k5;1013;True;True;0.0;0.0;101
CO;Adapt;k5;1014;True;True;0.0;0.0;102
CO;Adapt;k5;1015;False;False;789.0;11660.0;300
CO;Adapt;k5;1016;False;False;1004.0;13608.0;300
CO;Adapt;k5;1017;True;True;0.0;0.0;242
CO;Adapt;k5;1018;True;True;0.0;0.0;83
CO;Adapt;k5;1019;False;False;1281.0;19894.0;300
CO;Adapt;k5;1020;True;True;0.0;0.0;278
CO;Adapt;k5;1021;True;True;0.0;0.0;72
CO;Adapt;k10;1001;True;True;0.0;0.0;196
CO;Adapt;k10;1002;False;False;1096.0;18080.0;300
CO;Adapt;k10;1003;True;True;0.0;0.0;133
CO;Adapt;k10;1004;True;True;0.0;0.0;150
CO;Adapt;k10;1005;True;True;0.0;0.0;134
CO;Adapt;k10;1006;True;True;0.0;0.0;140
CO;Adapt;k10;1007;False;False;1282.0;16246.0;300
CO;Adapt;k10;1008;True;True;0.0;0.0;51
CO;Adapt;k10;1009;True;True;0.0;0.0;163
CO;Adapt;k10;1010;True;True;0.0;0.0;254
CO;Adapt;k10;1011;True;True;0.0;0.0;268
CO;Adapt;k10;1012;True;True;0.0;0.0;227
CO;Adapt;k10;1013;True;True;0.0;0.0;85
CO;Adapt;k10;1014;False;False;950.0;13339.0;300
CO;Adapt;k10;1015;True;True;0.0;0.0;61
CO;Adapt;k10;1016;False;False;1019.0;13859.0;300
CO;Adapt;k10;1017;True;True;0.0;0.0;101
CO;Adapt;k10;1018;True;True;0.0;0.0;251
CO;Adapt;k10;1019;False;False;795.0;12448.0;300
CO;Adapt;k10;1020;True;True;0.0;0.0;85
CO;Adapt;k10;1021;True;True;0.0;0.0;114
CO;Adapt;k15;1001;True;True;0.0;0.0;119
CO;Adapt;k15;1002;True;True;0.0;0.0;140
CO;Adapt;k15;1003;False;False;1089.0;11355.0;300
CO;Adapt;k15;1004;True;True;0.0;0.0;171
CO;Adapt;k15;1005;True;True;0.0;0.0;54
CO;Adapt;k15;1006;False;False;1019.0;13827.0;300
CO;Adapt;k15;1007;False;False;1086.0;14198.0;300
CO;Adapt;k15;1008;True;True;0.0;0.0;182
CO;Adapt;k15;1009;True;True;0.0;0.0;112
CO;Adapt;k15;1010;True;True;0.0;0.0;238
CO;Adapt;k15;1011;True;True;0.0;0.0;143
CO;Adapt;k15;1012;False;False;65.0;799.0;300
CO;Adapt;k15;1013;True;True;0.0;0.0;54
CO;Adapt;k15;1014;True;True;0.0;0.0;93
CO;Adapt;k15;1015;True;True;0.0;0.0;143
CO;Adapt;k15;1016;False;False;971.0;12826.0;300
CO;Adapt;k15;1017;False;False;982.0;12950.0;300
CO;Adapt;k15;1018;False;False;1195.0;17396.0;300
CO;Adapt;k15;1019;True;True;0.0;0.0;300
CO;Adapt;k15;1020;False;False;1259.0;16467.0;300
CO;Adapt;k15;1021;True;True;0.0;0.0;192
CO;Adapt;k20;1001;True;True;0.0;0.0;149
CO;Adapt;k20;1002;False;False;1202.0;18545.0;300
CO;Adapt;k20;1003;False;False;400.0;4400.0;300
CO;Adapt;k20;1004;True;True;0.0;0.0;77
CO;Adapt;k20;1005;False;False;1194.0;14203.0;300
CO;Adapt;k20;1006;True;True;0.0;0.0;219
CO;Adapt;k20;1007;True;True;0.0;0.0;175
CO;Adapt;k20;1008;False;False;957.0;12471.0;300
CO;Adapt;k20;1009;False;False;1145.0;16048.0;300
CO;Adapt;k20;1010;False;False;200.0;2200.0;300
CO;Adapt;k20;1011;False;False;95.0;1087.0;300
CO;Adapt;k20;1012;False;False;1163.0;16639.0;300
CO;Adapt;k20;1013;False;False;1332.0;32151.0;300
CO;Adapt;k20;1014;True;True;0.0;0.0;233
CO;Adapt;k20;1015;False;False;1273.0;17768.0;300
CO;Adapt;k20;1016;False;False;1388.0;17545.0;300
